Date,Time,Open,High,Low,Close,Volume,OI
01/05/1970,00:00,0.0,94.25,91.82,92.4,53010000,0
01/12/1970,00:00,0.0,92.67,90.36,90.92,52210000,0
01/19/1970,00:00,0.0,90.8,88.64,89.37,52480000,0
01/26/1970,00:00,0.0,89.23,84.42,85.02,55340000,0
02/02/1970,00:00,0.0,87.66,84.64,86.33,60110000,0
02/09/1970,00:00,0.0,87.85,85.3,86.54,54270000,0
02/16/1970,00:00,0.0,88.74,85.57,88.03,65550000,0
02/23/1970,00:00,0.0,90.33,87.11,89.5,48450000,0
03/02/1970,00:00,0.0,91.05,88.84,89.44,58170000,0
03/09/1970,00:00,0.0,89.58,87.29,87.86,47090000,0
03/16/1970,00:00,0.0,88.28,86.36,87.06,44630000,0
03/23/1970,00:00,0.0,91.07,86.19,89.92,45020000,0
03/30/1970,00:00,0.0,90.7,88.81,89.39,48220000,0
04/06/1970,00:00,0.0,89.61,87.82,88.24,45020000,0
04/13/1970,00:00,0.0,88.67,84.75,85.67,50300000,0
04/20/1970,00:00,0.0,86.54,81.96,82.77,49010000,0
04/27/1970,00:00,0.0,83.23,79.31,81.44,56830000,0
05/04/1970,00:00,0.0,81.28,78.02,79.44,52870000,0
05/11/1970,00:00,0.0,79.72,74.03,76.9,56710000,0
05/18/1970,00:00,0.0,77.68,70.94,72.25,59660000,0
05/25/1970,00:00,0.0,76.92,68.61,76.55,80690000,0
06/01/1970,00:00,0.0,79.42,75.25,76.17,71930000,0
06/08/1970,00:00,0.0,79.96,73.25,73.88,38990000,0
06/15/1970,00:00,0.0,78.05,73.67,77.05,47970000,0
06/22/1970,00:00,0.0,77.43,73.09,73.47,49480000,0
06/29/1970,00:00,0.0,73.92,72.11,72.92,35100000,0
07/06/1970,00:00,0.0,75.21,70.69,74.45,53760000,0
07/13/1970,00:00,0.0,78.23,73.78,77.69,49740000,0
07/20/1970,00:00,0.0,78.72,76.22,77.82,56040000,0
07/27/1970,00:00,0.0,79.03,76.96,78.05,51150000,0
08/03/1970,00:00,0.0,78.24,76.12,77.28,40550000,0
08/10/1970,00:00,0.0,77.4,74.13,75.18,38840000,0
08/17/1970,00:00,0.0,79.6,74.52,79.24,49900000,0
08/24/1970,00:00,0.0,82.47,79.41,81.86,78660000,0
08/31/1970,00:00,0.0,83.42,79.95,82.83,60880000,0
09/07/1970,00:00,0.0,83.78,81.48,82.52,57400000,0
09/14/1970,00:00,0.0,83.5,80.61,82.62,65250000,0
09/21/1970,00:00,0.0,83.6,80.82,82.83,83400000,0
09/28/1970,00:00,0.0,85.56,82.61,85.16,72220000,0
10/05/1970,00:00,0.0,87.75,84.54,85.08,84090000,0
10/12/1970,00:00,0.0,85.28,83.24,84.28,50540000,0
10/19/1970,00:00,0.0,84.72,82.62,83.77,51120000,0
10/26/1970,00:00,0.0,84.26,82.29,83.25,50500000,0
11/02/1970,00:00,0.0,85.26,82.66,84.22,54180000,0
11/09/1970,00:00,0.0,86.24,82.92,83.37,60850000,0
11/16/1970,00:00,0.0,84.17,82.23,83.72,48660000,0
11/23/1970,00:00,0.0,86.21,83.47,85.93,48900000,0
11/30/1970,00:00,0.0,89.89,85.79,89.46,92290000,0
12/07/1970,00:00,0.0,90.93,88.48,90.26,73850000,0
12/14/1970,00:00,0.0,90.81,88.77,90.22,69490000,0
12/21/1970,00:00,0.0,91.08,89.35,90.61,54740000,0
12/28/1970,00:00,0.0,92.99,90.28,92.15,62570000,0
01/04/1971,00:00,0.0,93.26,90.64,92.19,70130000,0
01/11/1971,00:00,0.0,93.94,90.99,93.03,87220000,0
01/18/1971,00:00,0.0,95.53,92.63,94.88,90270000,0
01/25/1971,00:00,0.0,96.49,93.96,95.88,100870000,0
02/01/1971,00:00,0.0,97.58,95.38,96.93,105700000,0
02/08/1971,00:00,0.0,98.96,96.13,98.43,110610000,0
02/15/1971,00:00,0.0,99.59,96.25,96.74,74580000,0
02/22/1971,00:00,0.0,97.71,94.92,96.75,80300000,0
03/01/1971,00:00,0.0,99.49,96.11,98.96,82350000,0
03/08/1971,00:00,0.0,100.31,98.42,99.57,91560000,0
03/15/1971,00:00,0.0,102.03,99.12,101.01,91320000,0
03/22/1971,00:00,0.0,101.46,98.36,99.95,77960000,0
03/29/1971,00:00,0.0,101.23,99.36,100.56,74680000,0
04/05/1971,00:00,0.0,102.87,99.88,102.1,75890000,0
04/12/1971,00:00,0.0,104.4,101.75,103.49,102870000,0
04/19/1971,00:00,0.0,104.63,102.55,104.05,92070000,0
04/26/1971,00:00,0.0,105.6,103.19,103.95,102760000,0
05/03/1971,00:00,0.0,104.42,101.86,102.87,86490000,0
05/10/1971,00:00,0.0,103.57,101.5,102.21,79750000,0
05/17/1971,00:00,0.0,102.17,99.68,100.99,75090000,0
05/24/1971,00:00,0.0,101.24,98.68,99.63,66030000,0
05/31/1971,00:00,0.0,102.07,99.22,101.3,62860000,0
06/07/1971,00:00,0.0,102.02,99.28,101.07,66380000,0
06/14/1971,00:00,0.0,101.37,98.65,98.97,68400000,0
06/21/1971,00:00,0.0,99.18,96.92,97.99,66270000,0
06/28/1971,00:00,0.0,100.65,97.02,99.78,62730000,0
07/05/1971,00:00,0.0,101.33,99.1,100.69,51520000,0
07/12/1971,00:00,0.0,101.52,98.23,99.11,66870000,0
07/19/1971,00:00,0.0,100.01,98.11,98.94,60830000,0
07/26/1971,00:00,0.0,99.47,95.08,95.58,62970000,0
08/02/1971,00:00,0.0,96.76,93.33,94.25,62360000,0
08/09/1971,00:00,0.0,96.53,92.81,95.69,54810000,0
08/16/1971,00:00,0.0,101.0,97.35,98.33,105280000,0
08/23/1971,00:00,0.0,101.51,98.09,100.48,76500000,0
08/30/1971,00:00,0.0,100.93,98.32,100.69,57070000,0
09/06/1971,00:00,0.0,102.25,99.69,100.42,58480000,0
09/13/1971,00:00,0.0,100.84,98.79,99.96,54060000,0
09/20/1971,00:00,0.0,100.4,97.61,98.15,61140000,0
09/27/1971,00:00,0.0,99.49,96.97,98.93,56940000,0
10/04/1971,00:00,0.0,100.96,98.34,99.36,74210000,0
10/11/1971,00:00,0.0,100.2,97.03,97.79,61670000,0
10/18/1971,00:00,0.0,98.33,94.59,95.57,69350000,0
10/25/1971,00:00,0.0,95.76,92.96,94.23,61450000,0
11/01/1971,00:00,0.0,96.08,91.84,94.46,65410000,0
11/08/1971,00:00,0.0,95.31,90.93,92.12,61860000,0
11/15/1971,00:00,0.0,93.62,90.95,91.61,60940000,0
11/22/1971,00:00,0.0,92.19,89.34,91.94,50970000,0
11/29/1971,00:00,0.0,97.57,92.04,97.06,92810000,0
12/06/1971,00:00,0.0,98.17,95.4,97.69,81600000,0
12/13/1971,00:00,0.0,100.26,97.67,100.26,89320000,0
12/20/1971,00:00,0.0,101.8,100.74,100.74,79200000,0
12/27/1971,00:00,0.0,102.21,100.95,102.09,71980000,0
01/03/1972,00:00,0.0,104.29,100.87,103.47,87350000,0
01/10/1972,00:00,0.0,104.66,102.29,103.39,85630000,0
01/17/1972,00:00,0.0,105.0,102.75,103.65,94750000,0
01/24/1972,00:00,0.0,104.98,101.63,104.16,93510000,0
01/31/1972,00:00,0.0,105.48,103.1,104.86,99690000,0
02/07/1972,00:00,0.0,106.69,103.9,105.08,95480000,0
02/14/1972,00:00,0.0,106.65,104.03,105.28,93200000,0
02/21/1972,00:00,0.0,106.73,104.65,106.18,67620000,0
02/28/1972,00:00,0.0,108.51,105.37,107.94,104810000,0
03/06/1972,00:00,0.0,109.75,107.64,108.38,106080000,0
03/13/1972,00:00,0.0,108.61,106.55,107.92,91300000,0
03/20/1972,00:00,0.0,108.81,105.86,107.52,84200000,0
03/27/1972,00:00,0.0,108.08,105.98,107.2,55780000,0
04/03/1972,00:00,0.0,110.29,106.75,109.62,98790000,0
04/10/1972,00:00,0.0,111.11,108.76,109.84,99540000,0
04/17/1972,00:00,0.0,110.64,108.08,108.89,90370000,0
04/24/1972,00:00,0.0,109.19,106.18,107.67,79290000,0
05/01/1972,00:00,0.0,108.0,105.14,106.63,72150000,0
05/08/1972,00:00,0.0,107.02,103.83,106.38,71920000,0
05/15/1972,00:00,0.0,109.59,106.02,108.98,78220000,0
05/22/1972,00:00,0.0,111.31,108.79,110.66,82520000,0
05/29/1972,00:00,0.0,111.48,108.92,109.73,61350000,0
06/05/1972,00:00,0.0,109.92,106.3,106.86,71260000,0
06/12/1972,00:00,0.0,109.52,106.29,108.36,77370000,0
06/19/1972,00:00,0.0,109.66,107.37,108.27,69490000,0
06/26/1972,00:00,0.0,108.29,105.94,107.14,66080000,0
07/03/1972,00:00,0.0,110.27,106.72,108.69,55270000,0
07/10/1972,00:00,0.0,109.16,105.62,106.8,69330000,0
07/17/1972,00:00,0.0,107.37,104.43,106.66,76930000,0
07/24/1972,00:00,0.0,108.88,106.52,107.38,76250000,0
07/31/1972,00:00,0.0,111.12,106.6,110.43,80250000,0
08/07/1972,00:00,0.0,112.4,109.67,111.95,75330000,0
08/14/1972,00:00,0.0,113.45,110.72,111.76,81000000,0
08/21/1972,00:00,0.0,113.27,109.78,110.67,83640000,0
08/28/1972,00:00,0.0,112.12,109.26,111.51,59430000,0
09/04/1972,00:00,0.0,112.08,109.67,110.15,44710000,0
09/11/1972,00:00,0.0,110.57,107.81,108.81,61530000,0
09/18/1972,00:00,0.0,109.57,107.72,108.52,58700000,0
