Date,Time,Open,High,Low,Close,Vol,OI
02/03/1993,16:00:00,44.41000,44.84000,44.38000,44.82000,529400,0
02/04/1993,16:00:00,44.97000,45.10000,44.88000,45.00000,531500,0
02/05/1993,16:00:00,44.97000,45.06000,44.73000,44.97000,492100,0
02/08/1993,16:00:00,44.97000,45.13000,44.92000,44.98000,596100,0
02/09/1993,16:00:00,44.66000,44.81000,44.56000,44.66000,122100,0
02/10/1993,16:00:00,44.67000,44.75000,44.54000,44.73000,379600,0
02/11/1993,16:00:00,44.79000,45.13000,44.78000,44.94000,19500,0
02/12/1993,16:00:00,44.88000,44.88000,44.59000,44.60000,42500,0
02/16/1993,16:00:00,44.47000,44.48000,43.42000,43.48000,374800,0
02/17/1993,16:00:00,43.47000,43.53000,43.28000,43.45000,210900,0
02/18/1993,16:00:00,43.42000,43.94000,42.82000,43.42000,378100,0
02/19/1993,16:00:00,43.41000,43.57000,43.34000,43.57000,34900,0
02/22/1993,16:00:00,43.70000,43.79000,43.57000,43.72000,513600,0
02/23/1993,16:00:00,43.84000,43.88000,43.48000,43.70000,373700,0
02/24/1993,16:00:00,43.73000,44.25000,43.73000,44.25000,26300,0
02/25/1993,16:00:00,44.23000,44.38000,44.13000,44.34000,44500,0
02/26/1993,16:00:00,44.42000,44.44000,44.20000,44.42000,66200,0
03/01/1993,16:00:00,44.56000,44.57000,44.23000,44.28000,66500,0
03/02/1993,16:00:00,44.60000,44.95000,44.25000,44.60000,182400,0
03/03/1993,16:00:00,45.00000,45.17000,44.94000,45.13000,280100,0
03/04/1993,16:00:00,45.19000,45.20000,44.88000,44.88000,89500,0
03/05/1993,16:00:00,44.88000,45.13000,44.73000,44.75000,40000,0
03/08/1993,16:00:00,44.84000,45.75000,44.84000,45.75000,50800,0
03/09/1993,16:00:00,45.67000,45.69000,45.50000,45.60000,169300,0
03/10/1993,16:00:00,45.60000,45.70000,45.41000,45.70000,194400,0
03/11/1993,16:00:00,45.73000,45.84000,45.50000,45.57000,70900,0
03/12/1993,16:00:00,45.19000,45.22000,44.82000,45.09000,643600,0
03/15/1993,16:00:00,45.19000,45.31000,45.07000,45.19000,310800,0
03/16/1993,16:00:00,45.32000,45.45000,45.31000,45.31000,30800,0
03/17/1993,16:00:00,45.25000,45.25000,44.98000,45.04000,21800,0
03/18/1993,16:00:00,45.23000,45.50000,45.22000,45.31000,59300,0
03/19/1993,16:00:00,45.16000,45.29000,45.04000,45.16000,66900,0
03/22/1993,16:00:00,44.60000,44.88000,44.57000,44.78000,183400,0
03/23/1993,16:00:00,44.91000,44.94000,44.82000,44.88000,55200,0
03/24/1993,16:00:00,44.81000,45.06000,44.60000,44.88000,37200,0
03/25/1993,16:00:00,44.92000,45.25000,44.85000,45.16000,110100,0
03/26/1993,16:00:00,45.13000,45.17000,44.88000,44.92000,101500,0
03/29/1993,16:00:00,44.94000,45.31000,44.94000,45.09000,87100,0
03/30/1993,16:00:00,45.17000,45.23000,45.10000,45.23000,56000,0
03/31/1993,16:00:00,45.34000,45.48000,45.20000,45.20000,111600,0
04/01/1993,16:00:00,45.25000,45.25000,44.95000,45.04000,129500,0
04/02/1993,16:00:00,44.38000,44.67000,44.10000,44.38000,59400,0
04/05/1993,16:00:00,44.32000,44.44000,44.19000,44.32000,172200,0
04/06/1993,16:00:00,44.19000,44.41000,44.07000,44.19000,129700,0
04/07/1993,16:00:00,44.25000,44.35000,44.17000,44.34000,28000,0
04/08/1993,16:00:00,44.53000,44.53000,44.10000,44.29000,180800,0
04/12/1993,16:00:00,44.73000,44.94000,44.67000,44.92000,348500,0
04/13/1993,16:00:00,44.88000,45.16000,44.84000,45.00000,146100,0
04/14/1993,16:00:00,45.04000,45.06000,44.92000,44.94000,119600,0
04/15/1993,16:00:00,44.91000,45.04000,44.75000,44.95000,148600,0
04/16/1993,16:00:00,44.98000,45.04000,44.88000,44.95000,47900,0
04/19/1993,16:00:00,44.95000,45.07000,44.73000,44.75000,157000,0
04/20/1993,16:00:00,44.70000,44.75000,44.25000,44.53000,279500,0
04/21/1993,16:00:00,44.63000,44.63000,44.38000,44.50000,67900,0
04/22/1993,16:00:00,44.32000,44.70000,43.95000,44.32000,97700,0
04/23/1993,16:00:00,43.85000,43.98000,43.69000,43.75000,106000,0
04/26/1993,16:00:00,43.79000,43.95000,43.28000,43.41000,62600,0
04/27/1993,16:00:00,43.35000,43.88000,43.34000,43.88000,156800,0
04/28/1993,16:00:00,43.81000,43.92000,43.72000,43.79000,85900,0
04/29/1993,16:00:00,43.88000,43.98000,43.63000,43.97000,85000,0
04/30/1993,16:00:00,44.13000,44.29000,44.04000,44.04000,88500,0
05/03/1993,16:00:00,44.11000,44.32000,43.91000,44.11000,80500,0
05/04/1993,16:00:00,44.42000,44.63000,44.34000,44.48000,149100,0
05/05/1993,16:00:00,44.59000,44.75000,44.47000,44.59000,109000,0
05/06/1993,16:00:00,44.54000,44.56000,44.41000,44.45000,54700,0
05/07/1993,16:00:00,44.48000,44.48000,44.29000,44.35000,68000,0
05/10/1993,16:00:00,44.41000,44.70000,44.41000,44.44000,113900,0
05/11/1993,16:00:00,44.45000,44.63000,44.32000,44.63000,42600,0
05/12/1993,16:00:00,44.45000,44.59000,44.44000,44.57000,31000,0
05/13/1993,16:00:00,44.38000,44.38000,44.00000,44.04000,129100,0
05/14/1993,16:00:00,44.04000,44.16000,43.98000,44.00000,63500,0
05/17/1993,16:00:00,44.13000,44.16000,43.95000,44.16000,34000,0
05/18/1993,16:00:00,44.20000,44.22000,43.97000,44.13000,105200,0
05/19/1993,16:00:00,44.44000,45.03000,43.84000,44.44000,50200,0
05/20/1993,16:00:00,45.04000,45.16000,44.95000,45.16000,98200,0
05/21/1993,16:00:00,45.20000,45.25000,44.73000,44.75000,221400,0
05/24/1993,16:00:00,44.85000,45.10000,44.84000,44.95000,30500,0
05/25/1993,16:00:00,45.08000,45.13000,45.04000,45.08000,191800,0
05/26/1993,16:00:00,45.20000,45.63000,45.13000,45.59000,102400,0
05/27/1993,16:00:00,45.44000,45.66000,45.38000,45.44000,53800,0
05/28/1993,16:00:00,45.41000,45.41000,45.00000,45.22000,79100,0
06/01/1993,16:00:00,45.38000,45.81000,45.32000,45.66000,28300,0
06/02/1993,16:00:00,45.54000,45.75000,45.35000,45.60000,20300,0
06/03/1993,16:00:00,45.50000,45.50000,45.35000,45.45000,21600,0
06/04/1993,16:00:00,45.31000,45.32000,45.09000,45.29000,32000,0
06/07/1993,16:00:00,45.38000,45.38000,45.13000,45.13000,121400,0
06/08/1993,16:00:00,45.00000,45.00000,44.72000,44.73000,104500,0
06/09/1993,16:00:00,44.88000,45.06000,44.82000,44.88000,43300,0
06/10/1993,16:00:00,44.85000,44.95000,44.75000,44.92000,17900,0
06/11/1993,16:00:00,45.06000,45.17000,44.92000,45.10000,647400,0
06/14/1993,16:00:00,45.16000,45.19000,45.04000,45.04000,64200,0
06/15/1993,16:00:00,45.04000,45.13000,44.95000,45.04000,142400,0
06/16/1993,16:00:00,44.92000,45.03000,44.81000,44.92000,330900,0
06/17/1993,16:00:00,45.12000,45.20000,45.04000,45.12000,37400,0
06/18/1993,16:00:00,44.50000,44.84000,44.50000,44.50000,58500,0
06/21/1993,16:00:00,44.63000,44.63000,44.54000,44.59000,29300,0
06/22/1993,16:00:00,44.63000,44.67000,44.56000,44.63000,137500,0
06/23/1993,16:00:00,44.43000,44.63000,44.23000,44.43000,227600,0
06/24/1993,16:00:00,44.82000,44.82000,44.35000,44.82000,243700,0
06/25/1993,16:00:00,44.78000,44.92000,44.75000,44.78000,44800,0
06/28/1993,16:00:00,45.00000,45.29000,44.95000,45.28000,439900,0
06/29/1993,16:00:00,45.07000,45.23000,45.00000,45.07000,207500,0
06/30/1993,16:00:00,45.13000,45.23000,45.00000,45.07000,437600,0
07/01/1993,16:00:00,45.13000,45.13000,44.88000,44.95000,605700,0
07/02/1993,16:00:00,44.79000,44.82000,44.53000,44.70000,285400,0
07/06/1993,16:00:00,44.63000,44.75000,44.16000,44.22000,246400,0
07/07/1993,16:00:00,44.20000,44.42000,44.19000,44.34000,343700,0
07/08/1993,16:00:00,44.38000,44.95000,44.32000,44.85000,248200,0
07/09/1993,16:00:00,44.86000,44.97000,44.75000,44.86000,378200,0
07/12/1993,16:00:00,44.92000,44.98000,44.84000,44.94000,373700,0
07/13/1993,16:00:00,44.97000,45.09000,44.67000,44.91000,389600,0
07/14/1993,16:00:00,44.95000,45.19000,44.91000,45.06000,617300,0
07/15/1993,16:00:00,45.03000,45.03000,44.79000,44.88000,443800,0
07/16/1993,16:00:00,44.91000,44.95000,44.70000,44.75000,216400,0
07/19/1993,16:00:00,44.75000,44.75000,44.59000,44.73000,188200,0
07/20/1993,16:00:00,44.70000,44.85000,44.48000,44.85000,68500,0
07/21/1993,16:00:00,44.74000,44.81000,44.67000,44.74000,142700,0
07/22/1993,16:00:00,44.75000,44.82000,44.50000,44.50000,632400,0
07/23/1993,16:00:00,44.65000,44.73000,44.56000,44.65000,286200,0
07/26/1993,16:00:00,44.84000,45.06000,44.84000,44.98000,121300,0
07/27/1993,16:00:00,45.00000,45.04000,44.78000,44.94000,92800,0
07/28/1993,16:00:00,44.84000,44.94000,44.79000,44.85000,30800,0
07/29/1993,16:00:00,44.95000,45.23000,44.88000,45.09000,331000,0
07/30/1993,16:00:00,44.84000,45.09000,44.78000,44.84000,75300,0
08/02/1993,16:00:00,44.91000,45.13000,44.91000,44.97000,41300,0
08/03/1993,16:00:00,45.07000,45.20000,44.85000,45.00000,81600,0
08/04/1993,16:00:00,45.00000,45.10000,44.88000,45.00000,434000,0
08/05/1993,16:00:00,45.00000,45.00000,44.85000,44.92000,36800,0
08/06/1993,16:00:00,45.04000,45.07000,44.92000,44.97000,402300,0
08/09/1993,16:00:00,45.10000,45.35000,45.00000,45.23000,828200,0
08/10/1993,16:00:00,45.19000,45.23000,45.13000,45.19000,604900,0
08/11/1993,16:00:00,45.20000,45.32000,45.16000,45.20000,542200,0
08/12/1993,16:00:00,45.32000,45.32000,44.91000,45.06000,303700,0
08/13/1993,16:00:00,45.10000,45.17000,45.10000,45.13000,103500,0
08/16/1993,16:00:00,45.38000,45.50000,45.17000,45.38000,241800,0
08/17/1993,16:00:00,45.53000,45.53000,45.34000,45.53000,369300,0
08/18/1993,16:00:00,45.70000,45.88000,45.67000,45.78000,414300,0
08/19/1993,16:00:00,45.82000,45.82000,45.73000,45.79000,28500,0
08/20/1993,16:00:00,45.69000,45.82000,45.67000,45.82000,80700,0
08/23/1993,16:00:00,45.63000,45.75000,45.63000,45.73000,15600,0
08/24/1993,16:00:00,45.75000,46.23000,45.72000,46.22000,273400,0
08/25/1993,16:00:00,46.22000,46.45000,46.16000,46.25000,242300,0
08/26/1993,16:00:00,46.28000,46.54000,46.09000,46.28000,120000,0
08/27/1993,16:00:00,46.16000,46.25000,46.16000,46.25000,25700,0
08/30/1993,16:00:00,46.29000,46.50000,46.28000,46.44000,183500,0
08/31/1993,16:00:00,46.41000,46.56000,46.35000,46.56000,66500,0
09/01/1993,16:00:00,46.42000,46.60000,46.41000,46.50000,136500,0
09/02/1993,16:00:00,46.54000,46.59000,46.32000,46.35000,472400,0
09/03/1993,16:00:00,46.31000,46.44000,46.25000,46.38000,630500,0
09/07/1993,16:00:00,46.38000,46.45000,46.00000,46.06000,196400,0
09/08/1993,16:00:00,45.92000,46.06000,45.60000,45.92000,269900,0
09/09/1993,16:00:00,45.73000,46.04000,45.72000,46.00000,239200,0
09/10/1993,16:00:00,46.13000,46.45000,46.06000,46.41000,106500,0
09/13/1993,16:00:00,46.50000,46.56000,46.44000,46.50000,66900,0
09/14/1993,16:00:00,46.31000,46.32000,46.10000,46.25000,184500,0
09/15/1993,16:00:00,46.07000,46.41000,45.92000,46.38000,101000,0
09/16/1993,16:00:00,46.32000,46.34000,46.16000,46.29000,54300,0
09/17/1993,16:00:00,45.88000,45.92000,45.75000,45.81000,200900,0
09/20/1993,16:00:00,45.88000,45.98000,45.45000,45.45000,57800,0
09/21/1993,16:00:00,45.50000,45.57000,44.82000,45.28000,318200,0
09/22/1993,16:00:00,45.44000,45.73000,45.38000,45.66000,439700,0
09/23/1993,16:00:00,45.79000,45.95000,45.72000,45.92000,88500,0
09/24/1993,16:00:00,45.84000,45.88000,45.73000,45.79000,53500,0
09/27/1993,16:00:00,46.20000,46.28000,46.13000,46.20000,274600,0
09/28/1993,16:00:00,46.31000,46.32000,46.17000,46.19000,158300,0
09/29/1993,16:00:00,46.19000,46.32000,45.97000,46.03000,221000,0
09/30/1993,16:00:00,46.04000,46.13000,45.85000,45.95000,99300,0
10/01/1993,16:00:00,45.88000,46.23000,45.82000,46.16000,22700,0
10/04/1993,16:00:00,46.23000,46.23000,46.10000,46.22000,1038500,0
10/05/1993,16:00:00,46.32000,46.32000,46.00000,46.17000,436500,0
10/06/1993,16:00:00,46.19000,46.38000,46.13000,46.13000,209200,0
10/07/1993,16:00:00,46.00000,46.19000,45.98000,46.00000,59400,0
10/08/1993,16:00:00,46.13000,46.17000,45.72000,46.07000,54400,0
10/11/1993,16:00:00,46.21000,46.25000,46.16000,46.21000,467100,0
10/12/1993,16:00:00,46.22000,46.25000,46.20000,46.23000,26200,0
10/13/1993,16:00:00,46.25000,46.25000,46.17000,46.23000,139100,0
10/14/1993,16:00:00,46.42000,46.82000,46.28000,46.81000,108100,0
10/15/1993,16:00:00,47.04000,47.16000,46.91000,47.07000,1502500,0
